City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
ERODE,Zone-1,Ward-1,1,0.08,0.08,0.07,0.08,0.07,0.12,0.12,0.13,0.06,0.57,0,0,0.01,0.01,0.01,0,0,0,0.02,0.02
ERODE,Zone-1,Ward-2,2,0.09,0.08,0.08,0.08,0.08,0.14,0.14,0.14,0.14,0.29,0,0.01,0.01,0.01,0.01,0,0,0,0,0
ERODE,Zone-1,Ward-3,3,0.03,0.03,0.04,0.04,0.03,0.06,0.06,0.07,0.07,0.18,0,0,0,0,0,0,0,0,0,0
ERODE,Zone-1,Ward-4,4,0.05,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.03,0.12,0.01,0,0,0,0,0,0,0,0,0
ERODE,Zone-1,Ward-5,5,0.17,0.17,0.18,0.19,0.19,0.27,0.28,0.28,0.29,0.42,0.02,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.01
ERODE,Zone-1,Ward-6,6,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.07,0.11,0,0,0,0,0,0,0,0,0,0
ERODE,Zone-1,Ward-7,7,0.04,0.05,0.04,0.04,0.04,0.07,0.07,0.07,0.03,0.08,0,0,0,0,0,0,0,0,0.02,0.02
ERODE,Zone-1,Ward-8,8,0.11,0.11,0.12,0.12,0.11,0.15,0.15,0.16,0.19,0.37,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
ERODE,Zone-1,Ward-9,9,0.04,0.05,0.05,0.05,0.08,0.06,0.07,0.07,0.09,0.2,0,0,0,0.01,0.01,0,0,0,0,0
ERODE,Zone-1,Ward-10,10,0.05,0.05,0.05,0.05,0.05,0.07,0.08,0.08,0.08,0.11,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01
ERODE,Zone-1,Ward-11,11,0.08,0.09,0.09,0.1,0.1,0.13,0.14,0.14,0.05,0.22,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01
ERODE,Zone-1,Ward-12,12,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.07,0.06,0.08,0,0,0,0,0,0,0,0,0,0
ERODE,Zone-1,Ward-13,13,0.13,0.14,0.14,0.15,0.17,0.23,0.24,0.27,0.27,0.49,0.01,0.01,0.01,0.01,0.02,0,0,0,0,0
ERODE,Zone-1,Ward-14,14,0.04,0.05,0.05,0.05,0.13,0.07,0.08,0.09,0.09,0.35,0,0,0,0.01,0.01,0,0,0,0,0
ERODE,Zone-1,Ward-15,15,0.09,0.09,0.09,0.1,0.09,0.13,0.13,0.14,0.15,0.2,0,0,0,0,0,0,0,0,0,0
ERODE,Zone-2,Ward-16,16,0.05,0.05,0.08,0.12,0.19,0.08,0.07,0.14,0.17,0.32,0,0,0,0,0,0,0,0,0,0
ERODE,Zone-2,Ward-17,17,0.17,0.22,0.24,0.25,0.24,0.23,0.3,0.34,0.4,0.71,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.01,0.01
ERODE,Zone-2,Ward-18,18,0.12,0.13,0.15,0.17,0.17,0.18,0.21,0.25,0.26,0.36,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
ERODE,Zone-2,Ward-19,19,0.13,0.14,0.16,0.17,0.14,0.19,0.22,0.25,0.28,0.4,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
ERODE,Zone-2,Ward-20,20,0.07,0.07,0.08,0.07,0.08,0.11,0.12,0.13,0.14,0.21,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0
