City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,1,NA,1,5397150,6192616,8253215.2,8842147,7817550.36,5455313,5396799,5631983,5918618,6574635,58723,32017,61345,38621,47604,27166,42059,26988,27732,32206,1005292,1099263,1346373,1543988,1402008,975008,998111,1094024,1238523,1397745
Jabalpur,1,NA,3,3983995,5985480.32,8748384,9942054.5,8899203,4978323,5398420,5345118,5505679,6378828,37288,126808,95204,49113,57181,48463,39780,43664,46725,58105,1100790,2520920,2047569,1809706,2032075,1472245,1453506,1620563,1781487,2277913
Jabalpur,1,NA,5,3964448,4110057,4632275.87,4441332,5853545.37,3792758,3683325,4311171,4423273,4746318,128982,110342,216328,102131,86285,52150,52084,57403,57564,64022,1381491,2083851,1787569,2117559,2070560,1331867,1601733,1714051,2260414,2714501
Jabalpur,1,NA,6,5058485,6315732.19,5713906,5694048.19,6568481.04,4918043,4914252,4977356,5083909,5443689,119029,229721,144646,123499,147615,130313,110516,108978,109566,125903,2157587,2416401.1,1924146,1985277.82,2037101,1692793,1718480,1766039,2018912,2230593
Jabalpur,1,NA,16,5726827,7508837,7419158,9237681,8731598,6162359,5902187,6622828,6803887,7439940,33771,61400,51754,302179,72404,102082,69970,79058,84833,93449,989036,1377573,895745,1365158,1447862,870906,853855,989693,1316040,1485472
Jabalpur,1,NA,71,825,0,1612964,2527354.19,3270159,2528,2527,3110580,3084283,3297097,0,0,45310,63099,152360,0,0,177970,174343,183692,0,0,2664966,5582308,6255398,0,0,6737269,7041183,7542930
Jabalpur,2,NA,2,3049860,3702517,4068501,4150024,4610747.1,2822894,2781241,2879230,2891084,3139987,76149,81356,77173,160079,93185,99597,96917,94505,91951,104496,2367926,2535094,2405004,3425809,3005419,2071256,2188767,2494581,2725193,3007319
Jabalpur,2,NA,7,5546870,5950848.5,6691011,7194809,7868413.72,5163549,6104402,5694985,5905709,6381559,96158,53477,87949,109776,67290,74526,67668,67486,65583,75634,1720378,1796236.29,2650236,3369741,2229750,1895210,2427784,2271245,2516134,2717045
Jabalpur,2,NA,15,5806538,6946842.28,6997508,10169975.41,11049735.28,6779539,6872136,6976346,7193448,7606374,294581,272548,286744,255742,348770,233815,246490,243956,246755,265725,4859904,5628288.23,5329176,6262811,7636783.88,5029387,5441087,5712866,6462916,7028385
Jabalpur,2,NA,17,2895091,3771944,3898332,3641808.66,3782263,2373218,2328419,2522256,2522206,2707454,43569,21030,26705,55760,18085,25323,25323,27279,27122,28813,1123752,887684,1323088,1493545,1287771,811667,926780,1082292,1280738,1386139
Jabalpur,2,NA,19,8790239.66,10843606.75,10875008,14036633.01,13072326,9066493,9829116,10316584,10480792,11530625,208344,293402,335494,498337,311356,284043,262911,275705,269293,285057,3225210,4285564,5100623,5856466,6000711,3766034,4133037,4471588,5163650,5700735
