City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) -Commercial
Smart City Solapur,City Area,SOUTH KASABA,NA,0.6,0.51,0.48,0.62,0.61,0.49,0.51,0.53,0.56,0.76,0.47,0.43,0.36,0.57,0.33,0.36,0.41,0.42,0.47,1.15
Smart City Solapur,City Area,GOLD FINCH,NA,0.09,0.09,0.08,0.09,0.36,0.49,0.09,0.09,0.09,0.18,0.91,0.64,0.73,0.91,0.24,0.72,0.72,0.72,0.79,1.25
Smart City Solapur,City Area,NORTH KASBA,NA,0.81,0.66,0.71,0.75,0.89,0.59,0.6,0.62,0.66,1.17,0.16,0.2,0.17,0.23,0.37,0.17,0.17,0.19,0.21,0.43
Smart City Solapur,City Area,BUDHAWAR,NA,1.14,1.26,2.04,1.23,2.08,1.25,1.25,1.29,1.29,4.59,0.79,0.9,0.78,0.84,0.26,0.83,0.87,0.87,0.88,2.03
Smart City Solapur,City Area,BHAVANI,NA,2.31,2.25,2.4,2.95,2.93,2.13,2.22,2.32,2.44,6.15,0.67,0.64,0.82,0.83,0.73,0.49,0.6,0.64,0.71,1.51
Smart City Solapur,City Area,WEST MANGALWAR,NA,0.34,0.26,0.34,0.42,0.39,0.29,0.29,0.3,0.33,0.55,0.54,0.54,0.51,0.6,0.44,0.45,0.46,0.49,0.54,1.07
Smart City Solapur,City Area,EAST MANGALWAR,NA,0.17,0.2,0.17,0.22,0.37,0.16,0.17,0.17,0.18,0.29,0.28,0.23,0.2,0.28,0.34,0.21,0.22,0.23,0.23,0.41
Smart City Solapur,City Area,GURUWAR,NA,0.08,0.08,0.08,0.07,0.1,0.07,0.07,0.07,0.07,0.07,0.08,0.05,0.04,0.07,0.14,0.04,0.05,0.05,0.06,0.08
Smart City Solapur,City Area,SOMWAR,NA,0.1,0.07,0.08,0.09,0.35,0.07,0.07,0.07,0.09,0.12,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02
Smart City Solapur,City Area,JODBHAVI,NA,0.33,0.31,0.32,0.41,0.42,0.32,0.32,0.33,0.34,0.69,0.19,0.21,0.16,0.23,0.48,0.19,0.2,0.21,0.22,0.57
Smart City Solapur,City Area,GANESH,NA,0.04,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.07,0.07,0.06,0.06,0.06,0.06,0.21
Smart City Solapur,City Area,SAKHAR,NA,0.32,0.3,0.34,0.36,0.37,0.28,0.29,0.31,0.34,0.59,0.14,0.21,0.18,0.16,0.36,0.16,0.16,0.18,0.19,0.4
Smart City Solapur,City Area,RAVIWAR,NA,0.55,0.6,0.55,0.87,0.95,0.63,0.66,0.69,0.7,2.77,1.01,1.08,1.24,1.89,0.65,0.99,1,1.04,1.22,2.44
Smart City Solapur,City Area,SHUKRAWAR,NA,0.27,0.26,0.27,0.33,0.42,0.24,0.25,0.27,0.29,0.69,0.13,0.1,0.09,0.17,0.33,0.12,0.12,0.12,0.14,0.45
Smart City Solapur,City Area,SHANIWAR,NA,0.21,0.22,0.22,0.32,0.26,0.21,0.21,0.23,0.25,0.37,0.04,0.02,0.04,0.07,0.06,0.05,0.04,0.04,0.07,0.26
Smart City Solapur,City Area,PACHHA,NA,3.26,2.84,3.29,3.67,3.64,2.84,2.95,3.1,3.23,6.6,1.1,1.06,1.31,1.47,1.67,1.04,1.1,1.14,1.32,2.23
Smart City Solapur,City Area,NORTH SADAR BAZAR,NA,0.8,1.05,0.91,1.14,1.07,1.1,1.14,1.15,1.17,4.06,0.47,0.51,0.53,0.62,0.38,0.46,0.46,0.49,0.57,1.13
Smart City Solapur,City Area,SOUTH SADAR BAZAR,NA,0.77,0.81,0.86,0.93,0.86,0.78,0.79,0.86,0.86,1.58,0.37,0.28,0.25,0.37,0.23,0.3,0.3,0.3,0.34,0.94
Smart City Solapur,City Area,MODI ,NA,0.45,0.41,0.43,0.48,0.54,0.42,0.43,0.43,0.45,0.82,0.2,0.22,0.37,0.38,0.1,0.17,0.17,0.43,0.42,1.39
Smart City Solapur,City Area,RAILWAY LINE,NA,1.16,1.21,1.44,1.45,1.48,1.37,1.39,1.45,1.53,9.69,1.84,1.96,2.22,2.37,0.5,1.97,2.09,2.29,2.48,9.38
Smart City Solapur,City Area,SIDDHESHWAR,NA,0.23,0.19,0.29,0.32,0.42,0.22,0.23,0.23,0.28,0.73,0.6,0.69,0.75,0.93,0.11,0.76,0.81,0.81,0.87,3.18
Smart City Solapur,City Area,BEGAM,NA,0.14,0.15,0.14,0.23,0.16,0.15,0.15,0.15,0.15,0.3,0.05,0.05,0.06,0.07,0.12,0.06,0.05,0.05,0.06,0.13
