City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Thanjavur,Thanjavur,1,1,0.0397816,0.0374786,0.0294497,0.0336064,0.0328554,0.0590161,0.0744829,0.0477876,0.0532702,0.0610943,0.0132605,0.0124929,0.0098166,0.0112021,0.0109518,0.019672,0.0248276,0.0159292,0.0177567,0.0203648
Thanjavur,Thanjavur,2,2,0.0294645,0.0288823,0.0259687,0.0304545,0.0234571,0.0420164,0.040839,0.040874,0.0475607,0.0539867,0.0098215,0.0096274,0.0086562,0.0101515,0.007819,0.0140055,0.013613,0.0136247,0.0158536,0.0179956
Thanjavur,Thanjavur,3,3,0.0596055,0.0569705,0.0594065,0.0523736,0.0675281,0.0596055,0.0569705,0.0594065,0.0612147,0.0762705,0.0198685,0.0189902,0.0198022,0.0174579,0.0225094,0.0198685,0.0189902,0.0198022,0.0204049,0.0254235
Thanjavur,Thanjavur,4,4,0.02735,0.0279314,0.0306073,0.0321746,0.0486179,0.02735,0.0279314,0.0306073,0.0321746,0.0486179,0.0091167,0.0093105,0.0102024,0.0107249,0.016206,0.0091167,0.0093105,0.0102024,0.0107249,0.016206
Thanjavur,Thanjavur,5,5,0.0520601,0.0526829,0.0540791,0.0545069,0.0602365,0.0520601,0.0526829,0.0540791,0.0545069,0.0602365,0.0173534,0.017561,0.0180264,0.018169,0.0200788,0.0173534,0.017561,0.0180264,0.018169,0.0200788
Thanjavur,Thanjavur,6,6,0.0525029,0.0582985,0.0655679,0.0711964,0.0624733,0.074752,0.0873251,0.1247127,0.0991622,0.1009514,0.017501,0.0194328,0.021856,0.0237321,0.0208244,0.0249173,0.0291084,0.0415709,0.0330541,0.0336505
Thanjavur,Thanjavur,7,7,0.0076108,0.0102849,0.0147092,0.01901,0.0128018,0.0181987,0.0239747,0.0283286,0.0278231,0.0242582,0.0025369,0.0034283,0.0049031,0.0063367,0.0042673,0.0060662,0.0079916,0.0094429,0.0092744,0.0080861
Thanjavur,Thanjavur,8,8,0.0041757,0.0030939,0.0041177,0.0054203,0.0031795,0.0041757,0.0041849,0.005309,0.0054203,0.004747,0.0013919,0.0010313,0.0013726,0.0018068,0.0010598,0.0013919,0.001395,0.0017697,0.0018068,0.0015823
Thanjavur,Thanjavur,9,9,0.0774089,0.0754407,0.0758873,0.0849352,0.0758559,0.086312,0.0872338,0.094498,0.102173,0.1060209,0.025803,0.0251469,0.0252958,0.0283117,0.0252853,0.0287707,0.0290779,0.0314993,0.0340577,0.0353403
Thanjavur,Thanjavur,10,10,0.0169721,0.013763,0.014258,0.0196447,0.014129,0.0202915,0.0196437,0.023549,0.0270664,0.0279218,0.0056574,0.0045877,0.0047527,0.0065482,0.0047097,0.0067638,0.0065479,0.0078497,0.0090221,0.0093073
