City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
CHENNAI,Thiruvotriyur,NA,N001,0.1780044,0.2151615,0.2104716,0.2317994,0.1985228,0.1981656,0.2055606,0.2185962,0.2075543,0.198998,0.0069686,0.0081798,0.0076096,0.0154604,0.0216886,0.0079878,0.0110307,0.0098219,0.0151218,0.0186001
CHENNAI,Thiruvotriyur,NA,N002,2.3535449,2.5562833,2.6431196,2.3034941,2.0465437,2.6259642,2.6347896,2.644246,2.4273501,2.2095208,0.1746266,0.158427,0.1357449,0.1505288,0.163712,0.1341721,0.1379913,0.1431226,0.1335395,0.1224608
CHENNAI,Thiruvotriyur,NA,N003,1.5638803,1.5239741,1.6942738,1.2595733,1.2407698,1.5834853,1.4209733,1.2611634,1.2651653,1.2679429,0.0021998,0.002421,0,0.0007118,0.0063519,0.002244,0.0024607,0.0040272,0.0055616,0.0055616
CHENNAI,Thiruvotriyur,NA,N004,0.3487209,0.3684631,0.2938429,0.3680627,0.3748149,0.3630334,0.3408537,0.3236333,0.3305185,0.3449599,0.0396267,0.0456971,0.0362385,0.0537375,0.0812266,0.0356391,0.0411448,0.0344637,0.0559791,0.0623377
CHENNAI,Thiruvotriyur,NA,N005,2.280307,2.3929014,1.776873,1.417798849,1.948412698,2.9040708,2.7166361,2.4395692,2.4924867,2.5197771,0.4194718,0.5830875,3.0379247,0.7206118,1.718697,1.2901755,1.3516747,1.23301,1.2560788,1.291823
CHENNAI,Thiruvotriyur,NA,N006,0.3063855,0.3172605,0.5690988,0.4003068,0.4064667,0.3943926,0.3887645,0.3675081,0.3861129,0.4384563,0.1353398,0.1478733,0.2109801,0.1924297,0.2067476,0.1487891,0.1606221,0.1883766,0.2060026,0.2485496
CHENNAI,Thiruvotriyur,NA,N007,1.1122,1.4903865,0.7490548,0.8582607,0.9037638,1.2006097,1.1136905,0.9940828,1.0121333,1.043812,0.1275187,0.1488467,0.5103491,0.351022,0.3587159,0.3601738,0.3529778,0.3258804,0.3490659,0.3756583
CHENNAI,Thiruvotriyur,NA,N008,0.285742,0.3659181,0.2749747,0.6440223,0.3107744,0.4391795,0.4245169,0.4262802,0.5000524,0.6313202,0.0888951,0.1317057,0.1859043,0.1633286,0.155977,0.133467,0.1311773,0.0894367,0.1500321,0.1994929
CHENNAI,Thiruvotriyur,NA,N009,0.4681637,0.326156,0.2809489,0.4116992,0.2890711,0.4491619,0.4165342,0.4069731,0.3920905,0.3997959,0.0702032,0.0439437,0.0423542,0.1354332,0.0997267,0.038547,0.0590099,0.0401885,0.0935761,0.1111876
CHENNAI,Thiruvotriyur,NA,N010,0.2974761,0.3334776,0.3371482,0.465808706,0.3585903,0.4162724,0.3898502,0.3818596,0.3820546,0.4074712,0.025362,0.039363,0.0333157,0.0934654,0.1149173,0.0313387,0.0325169,0.0167599,0.0655365,0.0998069
CHENNAI,Thiruvotriyur,NA,N011,0.3601392,0.4154085,0.3592783,0.46332022,0.4645467,0.4563905,0.4332889,0.4265497,0.4391318,0.4638632,0.0541962,0.0407188,0.0454553,0.080481,0.0934557,0.0395485,0.0438997,0.0406487,0.066128,0.0803342
CHENNAI,Thiruvotriyur,NA,N012,0.4185079,0.4417665,0.4096351,0.6357066,0.482442197,0.5466134,0.5163516,0.4906456,0.4974723,0.5173384,0.050863,0.0553282,0.061045062,0.0863006,0.1086098,0.0510947,0.0544255,0.0447643,0.0838407,0.1414017
CHENNAI,Thiruvotriyur,NA,N013,0.4224553,0.5365335,0.355187062,0.5710903,0.5094881,0.5849958,0.5527153,0.5287562,0.5436237,0.5709191,0.0171064,0.0284539,0.104925,0.2229599,0.1796625,0.1130574,0.105328,0.0871095,0.1195128,0.1682596
CHENNAI,Thiruvotriyur,NA,N014,0.3721866,0.4538205,0.3450907,0.4741678,0.3600102,0.4865442,0.4563477,0.4191732,0.4319115,0.4485697,0.1863828,0.1649367,0.1983323,0.2439539,0.3446342,0.292989,0.2745218,0.2433966,0.2629349,0.3143767
CHENNAI,Manali,NA,N015,0.0272714,0.0673633,0.1563649,0.1304458,0.164029898,0.0478514,0.0572973,0.0987102,0.1361177,0.1508628,0.0179833,0.0518546,0.3626275,0.1567548,0.168696,0.1033806,0.1096427,0.0901952,0.1295437,0.1392229
