City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,1,NA,1,5397150,6192616,8253215.2,8842147,7817550.36,5455313,5396799,5631983,5918618,6574635,58723,32017,61345,38621,47604,27166,42059,26988,27732,32206
Jabalpur,1,NA,3,3983995,5985480.32,8748384,9942054.5,8899203,4978323,5398420,5345118,5505679,6378828,37288,126808,95204,49113,57181,48463,39780,43664,46725,58105
Jabalpur,1,NA,5,3964448,4110057,4632275.87,4441332,5853545.37,3792758,3683325,4311171,4423273,4746318,128982,110342,216328,102131,86285,52150,52084,57403,57564,64022
Jabalpur,1,NA,6,5058485,6315732.19,5713906,5694048.19,6568481.04,4918043,4914252,4977356,5083909,5443689,119029,229721,144646,123499,147615,130313,110516,108978,109566,125903
Jabalpur,1,NA,16,5726827,7508837,7419158,9237681,8731598,6162359,5902187,6622828,6803887,7439940,33771,61400,51754,302179,72404,102082,69970,79058,84833,93449
Jabalpur,1,NA,71,825,0,1612964,2527354.19,3270159,2528,2527,3110580,3084283,3297097,0,0,45310,63099,152360,0,0,177970,174343,183692
Jabalpur,2,NA,2,3049860,3702517,4068501,4150024,4610747.1,2822894,2781241,2879230,2891084,3139987,76149,81356,77173,160079,93185,99597,96917,94505,91951,104496
Jabalpur,2,NA,7,5546870,5950848.5,6691011,7194809,7868413.72,5163549,6104402,5694985,5905709,6381559,96158,53477,87949,109776,67290,74526,67668,67486,65583,75634
Jabalpur,2,NA,15,5806538,6946842.28,6997508,10169975.41,11049735.28,6779539,6872136,6976346,7193448,7606374,294581,272548,286744,255742,348770,233815,246490,243956,246755,265725
Jabalpur,2,NA,17,2895091,3771944,3898332,3641808.66,3782263,2373218,2328419,2522256,2522206,2707454,43569,21030,26705,55760,18085,25323,25323,27279,27122,28813
Jabalpur,2,NA,19,8790239.66,10843606.75,10875008,14036633.01,13072326,9066493,9829116,10316584,10480792,11530625,208344,293402,335494,498337,311356,284043,262911,275705,269293,285057
Jabalpur,2,NA,21,9968551,11487035,12673608.14,20587930.67,15994345.51,11637125,12063439,12456217,13003677,14135007,126958,175196,304122,220116,166604,173173,166202,164598,165992,175543
Jabalpur,3,NA,4,5879371,6885129,6906385,7067341,7960879.25,5892697,5821996,6111187,6296496,7136842,94666,124208,104896,70657,146194,105445,97020,94866,88482,99436
Jabalpur,3,NA,8,6779232.07,8083043.59,8014760,7751846.44,9729055.97,6459099,5412915,7193540,7321946,8358234,118570,161020,130315,213485,189066,136976,130610,159985,171332,192455
Jabalpur,3,NA,9,8795022.55,10326098.46,10626082.61,11515098.86,10992593,8705405,8965360,9716419,10131537,10740925,174939,232992,251020,181885,235588,179936,180537,182269,191769,217664
Jabalpur,3,NA,11,3678170.92,3437041.27,4823876,4539967.31,4389660,3353710,3423694,3488350,3548018,3931995,47888,43666,139890,152781,91915,81739,83293,82010,83101,109863
Jabalpur,3,NA,18,8991744.47,9587863.93,9207824.81,9707228.47,11001040.81,8232934,8305495,8508652,8519992,9781816,52971.2,85779,37191,61666,57130,43512,42030,45338,49312,53115
Jabalpur,4,NA,10,7733480.57,9564823.24,8685375.1,9808354.71,11797596.67,7666335,7671620,8081886,8254898,9343655,172116,225134,209818,293409,358850,206889,209460,221589,252207,289911
Jabalpur,4,NA,12,5991730,6290369.49,5533937,5675407,6440086.38,4654252,4631967,4668241,4780939,5036835,1789832,1538636,1134832.09,1482838,1291121,1110944,1012668,1024879,1011040,1069873
Jabalpur,4,NA,13,5894899.36,6786649.7,6708841,8907058.31,8583924.33,5799907,5846825,6065786,6152316,6586214,327295,366749,970083.29,672577,589930,431256,377735,373623,390370,431084
Jabalpur,4,NA,14,6266099,7045288,5563520,5602523.11,6389277,4629773,4725930,4767312,4800243,5117678,350505,456608,454661,391988,661779,360065,405337,407302,398914,431076
Jabalpur,5,NA,20,2489861,3502328,2744324,2369281,2782411,2529290,2396616,2381559,2355005,2424459,101491,256656,187878,127547,227950,159351,144614,149794,156216,177481
Jabalpur,5,NA,22,6058228,6482109,6402679,5635639,6302835,5208639,5003937,5154566,5106824,5439447,1270166,1628433,1529407,1699739,1519551,1222654,1175405,1246632,1277541,1451067
Jabalpur,5,NA,25,4196389.24,4467508,4206998,3895707,4219360,3509865,3433520,3432416,3428912,3703283,736463,579661,568866,465712,598169,471177,439003,439729,444686,490046
Jabalpur,6,NA,26,2151415,1941455,2595819,2322211,2277816,2033166,2021596,2001523,1976735,2073140,165853,99396,86053,144570,142347,111017,108421,112032,99742,106453
Jabalpur,6,NA,29,3577461,3901013,5373975.31,6000692.21,5935672.67,3967279,4089309,4156880,4486906,4884037,249609,241137,279910,247274,228653,161812,160682,157214,188746,230105
Jabalpur,6,NA,30,3407778,3884371,5564101.15,6439903,7132329,4328718,4764431,5031305,5176511,6178864,109162,134703,144839,252418,214319,127092,141953,157059,160492,172438
