SN,City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
1,PUNE,1,Aundh,8,406024607,423888723,577781050,553451863,556740793,420739980,428835561,485086806,534774898,562525148,198840701,255513452,345673094,449632507,321980329,278352908,352593496,384178811,467240806,425534093
2,PUNE,1,Baner,17,73858779,92509803,143707788,176950677,177902939,73986973,98085283,126608776,171795121,183305775,51515855,103387314,112140327,171621114,187918183,62324912,103632571,102954707,233615813,213877009
3,PUNE,3,Bhavani Peth,2,60284737,65936929,102383298,74814891,67078815,60209564,60886706,62463864,72813302,75316169,64310736,85881368,89404131,154781532,90816711,69748220,164861189,88008284,172667727,112260856
4,PUNE,4,Bibwe Wadi,13,292196783,288511454,469201752,408062151,426624213,295563510,307225331,384901817,402779722,515120610,116310384,131744533,226853201,286595549,195011232,132938515,161031506,272302955,297996742,262112227
5,PUNE,2,Chandan Nagar,21,52581533,49027067,75184455,57727376,56466443,42649124,42338523,47540779,56909011,62401934,28054796,25139600,30806426,26879216,46792465,22716335,23453157,26351853,27010159,31575423
6,PUNE,4,Dhankawadi,15,108221123,104647523,190576948,113983200,98555795,99796048,94217364,106334057,110805481,114396642,34131410,43174753,71093267,73770773,44144173,35603167,56674400,74188057,71407635,61455283
7,PUNE,3,Dhayari,27,16682945,18659090,30400582,18732681,18556456,16400219,16478564,18314435,18849194,19962591,12642250,18434473,19692698,21448255,16292945,15562559,13873888,14849400,14862336,17199993
8,PUNE,2,Dhole Patil Road,10,207814210,200654354,272073989,254427238,262683425,195120390,200595642,217047101,242772023,268977898,246082070,313211289,362467241,367887742,313815169,277323368,332523776,380562598,390708613,393247023
9,PUNE,1,Ghole Road,1,140760778,136556129,182277925,168812942,169137508,129649547,132027566,149627793,164707368,176119854,305368728,333029161,470635824,476376960,482739977,333851966,378638523,522285738,593521548,551131419
10,PUNE,4,Hadapsar,7,427431102,450817008,663344271,610355871,614960712,449780607,439182608,506577368,598814383,641606077,371879981,460366455,751808413,764559806,603450735,382518107,509740699,633255477,792766587,667439941
11,PUNE,3,Hingne,18,28920747,26139516,37388733,32499874,30272408,24512333,24467243,27915283,29359820,30772693,9140006,8661267,11594408,11138327,11835051,8767319,8549648,9191243,9482692,11158051
12,PUNE,3,Kasba Peth,6,38219188,40053686,68606564,47282512,41597994,35913723,38106165,44746257,45141796,47357990,50314991,58740681,69647855,94747687,57829831,48109918,61420441,115504387,104478414,90530310
13,PUNE,4,Katraj,22,69292046,62084238,110079678,80369857,65874585,58488173,57733548,63702367,68282809,71486263,19352931,19671378,28485726,27307875,19777409,16697884,17164098,21171138,19148656,19949307
