City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
TIRUCHIRAPPALLI,Srirangam Zone,1,1,0.6890395,0.781507,0.7644906,0.8300745,0.4472992,0.7697808,0.8477145,0.8654747,0.9934905,1.1211936,0.0377063,0.042668,0.0794109,0.0486752,0.011048,0.0429207,0.0480674,0.0895319,0.0636575,0.0887878
TIRUCHIRAPPALLI,Srirangam Zone,2,2,0.333279,0.3556131,0.3527683,0.3581676,0.1956582,0.4320619,0.4545849,0.4829251,0.5299166,0.5962698,0.1374115,0.1513224,0.1422697,0.1492389,0.0306687,0.2348763,0.2262317,0.2259152,0.2534547,0.2803464
TIRUCHIRAPPALLI,Srirangam Zone,3,3,0.2772616,0.314091,0.3339348,0.3413306,0.1736074,0.4331083,0.4762668,0.5048065,0.5164499,0.5344887,0.1269789,0.1064878,0.1369191,0.1307616,0.0394916,0.2166834,0.1939385,0.2232165,0.2220293,0.2284125
TIRUCHIRAPPALLI,Srirangam Zone,4,4,0.381871,0.4193484,0.5064603,0.5082799,0.2409328,0.5005954,0.5638333,0.7044826,0.763804,0.8389082,0.1605051,0.1684512,0.2512375,0.27445,0.0393521,0.2793135,0.2864494,0.4556261,0.487029,0.5064786
TIRUCHIRAPPALLI,Srirangam Zone,5,5,0.9064969,0.9887575,0.9431572,0.983509,0.5611215,1.049357,1.1174998,1.1382996,1.2168793,1.3766962,0.1892722,0.1887312,0.2376621,0.2435305,0.1041581,0.2075289,0.2076343,0.2688474,0.2729815,0.2722048
TIRUCHIRAPPALLI,Srirangam Zone,6,6,0.3434217,0.410753,0.4222517,0.4489902,0.2197319,0.4324147,0.5100231,0.5552967,0.6356144,0.740915,0.0471102,0.0549706,0.084239,0.0786848,0.0260977,0.0492479,0.0586757,0.1114792,0.1177661,0.1347551
TIRUCHIRAPPALLI,Srirangam Zone,8,8,0.2176508,0.2265826,0.2251386,0.2565584,0.0999446,0.2344059,0.2521243,0.2688589,0.3041959,0.314785,0.0963246,0.1107882,0.1235902,0.118476,0.0549753,0.1215533,0.1379499,0.1598994,0.1721866,0.1827342
TIRUCHIRAPPALLI,Srirangam Zone,9,9,0.3277276,0.327462,0.3166829,0.3095799,0.1195553,0.4143686,0.4158264,0.4260958,0.461283,0.5259667,0.768893,0.8208185,0.9435915,0.8741803,0.3745752,0.9906363,0.9682636,1.1365305,1.1551289,1.3362894
TIRUCHIRAPPALLI,Srirangam Zone,10,10,0.2219504,0.2201342,0.2066962,0.2110335,0.0941478,0.2653238,0.2667681,0.2718515,0.2921098,0.3136321,0.6409628,0.6508906,0.6500547,0.666584,0.2372744,1.1186963,1.182337,1.2474739,1.2999074,1.3509035
TIRUCHIRAPPALLI,Srirangam Zone,11,11,0.1567266,0.1594286,0.1597096,0.1683485,0.0655944,0.1567757,0.1594286,0.1622549,0.1691503,0.1738568,0.2869681,0.2217493,0.2283269,0.2360606,0.1152504,0.3155622,0.2564056,0.2862374,0.3007017,0.3143366
TIRUCHIRAPPALLI,Srirangam Zone,12,12,0.1138772,0.1100793,0.1046286,0.1201658,0.0344898,0.1630754,0.1639577,0.1724895,0.1938363,0.2087062,0.5397949,0.4294408,0.4407069,0.4956039,0.1553209,1.2531981,1.2028652,1.279226,1.3183406,1.2691822
TIRUCHIRAPPALLI,Srirangam Zone,13,13,0.1665111,0.1613723,0.1547834,0.1594271,0.0481031,0.1998641,0.1991118,0.2050343,0.2190536,0.2302684,1.1733376,1.1211522,1.0998588,1.1557346,0.5128246,2.0681232,2.0953054,2.1922709,2.3578765,2.668304
TIRUCHIRAPPALLI,Srirangam Zone,16,16,0.1678045,0.168019,0.1640177,0.1701667,0.0588181,0.1789502,0.1745101,0.1739946,0.1791294,0.1852387,0.0997919,0.1095412,0.1146956,0.1173324,0.0346332,0.2255493,0.1657623,0.1680104,0.1736047,0.1768993
TIRUCHIRAPPALLI,Srirangam Zone,17,17,0.2569285,0.2578821,0.2491346,0.2547178,0.0917719,0.2711517,0.264819,0.260546,0.2700555,0.2833854,0.6296433,0.4283449,0.4430548,0.5242049,0.1645481,1.2830098,1.1149297,1.1902276,1.1957711,1.1762244
TIRUCHIRAPPALLI,Srirangam Zone,18,18,0.2618827,0.2725402,0.2612186,0.2661771,0.085601,0.3226,0.3297496,0.3339306,0.3537856,0.3804094,0.3114043,0.2952453,0.2779444,0.3104742,0.0701454,0.8567521,0.8817006,0.9099764,0.9499698,0.9674595
TIRUCHIRAPPALLI,Ariyamangalam Zone,7,7,0.204868,0.2446656,0.2545389,0.2998646,0.1311965,0.2536525,0.2858199,0.3179823,0.35606,0.3900381,0.1017828,0.1023151,0.159926,0.1906147,0.1137523,0.2639541,0.2781727,0.3488902,0.4003173,0.430882
TIRUCHIRAPPALLI,Ariyamangalam Zone,14,14,0.1357575,0.1403675,0.1380472,0.1490492,0.0684029,0.1921103,0.1987502,0.2099926,0.2260896,0.2387205,0.1711098,0.1649027,0.1705178,0.181311,0.0748954,0.2796177,0.2817281,0.3045746,0.312443,0.3091992
TIRUCHIRAPPALLI,Ariyamangalam Zone,15,15,0.1028813,0.1187442,0.1376242,0.1395858,0.059404,0.1431989,0.1567586,0.1996558,0.2149256,0.2334806,0.0086382,0.0160908,0.0088162,0.014147,0.0091608,0.013737,0.01745,0.0292257,0.0364739,0.0384865
TIRUCHIRAPPALLI,Ariyamangalam Zone,19,19,0.1059816,0.1206543,0.082715,0.1360714,0.0749791,0.1842621,0.2001245,0.2393864,0.3194942,0.3462248,0.4852306,0.4652809,0.415432,0.4879372,0.1411501,1.0267442,1.02376,1.1068248,1.2395699,1.3011534
TIRUCHIRAPPALLI,Ariyamangalam Zone,20,20,0.0737784,0.0865522,0.0624286,0.0801184,0.0293799,0.1023845,0.1157956,0.1179815,0.1456213,0.1600732,0.1080891,0.0875994,0.0758719,0.0819662,0.0204735,0.1695133,0.1523807,0.1571854,0.1732901,0.1833259
TIRUCHIRAPPALLI,Ariyamangalam Zone,21,21,0.0901936,0.0898457,0.0820865,0.0917464,0.0415793,0.1077795,0.1119433,0.1189782,0.1361552,0.1449776,0.0551794,0.0508456,0.0459243,0.0592404,0.0219479,0.070492,0.0656854,0.0746696,0.0881513,0.0834333
TIRUCHIRAPPALLI,Ariyamangalam Zone,22,22,0.1539084,0.1631115,0.1506822,0.1781625,0.0731352,0.1951707,0.2096968,0.2188285,0.244915,0.2490022,0.0262553,0.0266254,0.0248443,0.0295562,0.0124867,0.0342305,0.038138,0.0470083,0.0535026,0.0554518
TIRUCHIRAPPALLI,Ariyamangalam Zone,23,23,0.107041,0.1304728,0.1042569,0.131178,0.0473302,0.1559391,0.1760585,0.1769773,0.2034256,0.2277585,0.1152,0.1234319,0.115215,0.1341145,0.0403977,0.1375659,0.1447814,0.1547302,0.1726732,0.1685123
TIRUCHIRAPPALLI,Ariyamangalam Zone,24,24,0.0937589,0.1154222,0.1227745,0.1167269,0.0547584,0.1300478,0.1395292,0.1376136,0.1282314,0.1274631,0.0238641,0.0322623,0.0295159,0.0301274,0.0149539,0.0374055,0.0394949,0.0375414,0.0383343,0.0385157
TIRUCHIRAPPALLI,Ariyamangalam Zone,25,25,0.1170066,0.1154429,0.1108838,0.1194522,0.0543506,0.1886972,0.1832407,0.1882696,0.2002712,0.2113566,0.0185526,0.0197172,0.0173083,0.0171381,0.0070729,0.0211109,0.0201257,0.0177843,0.0174638,0.0172921
TIRUCHIRAPPALLI,Ariyamangalam Zone,26,26,0.1006737,0.0990862,0.088156,0.1074627,0.0544369,0.1186775,0.1195009,0.124304,0.1411028,0.1467156,0.0435322,0.043835,0.0420948,0.0444547,0.0216856,0.0469052,0.0481397,0.0503107,0.0536615,0.0546524
TIRUCHIRAPPALLI,Ariyamangalam Zone,27,27,0.3156685,0.3523857,0.3419108,0.3763227,0.2155427,0.3750968,0.4201766,0.4638434,0.5415964,0.6448855,0.3979629,0.4107848,0.4276159,0.460257,0.2375413,0.4074798,0.4226414,0.4518491,0.5055119,0.5790239
TIRUCHIRAPPALLI,Ariyamangalam Zone,28,28,0.090769,0.1165374,0.1018291,0.1511374,0.0598639,0.1289649,0.1547203,0.1619939,0.195084,0.1938927,0.0182391,0.0233749,0.023391,0.034975,0.0185567,0.0245309,0.0285835,0.0339748,0.0455392,0.0504938
TIRUCHIRAPPALLI,Ariyamangalam Zone,29,29,0.2013958,0.294287,0.2335358,0.2620794,0.0919922,0.3249714,0.3794797,0.353529,0.3993155,0.4217267,0.0887458,0.1566379,0.1486821,0.1776276,0.1444027,0.1091934,0.1785441,0.1734044,0.2087398,0.2477421
TIRUCHIRAPPALLI,Ariyamangalam Zone,33,33,0.328954,0.3407332,0.3460031,0.3627601,0.1791842,0.3562419,0.368315,0.3849754,0.4022616,0.4069951,0.209914,0.1429557,0.1556885,0.1529428,0.0781701,0.2380155,0.1841265,0.211099,0.217494,0.225531
TIRUCHIRAPPALLI,Ariyamangalam Zone,61,61,0.0455432,0.0485049,0.0386101,0.0473343,0.021985,0.063513,0.0684398,0.071406,0.0855249,0.0909308,0.004667,0.0046596,0.0044633,0.0047702,0.0007627,0.0478792,0.0620593,0.0767207,0.0915068,0.106045
