City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Chennai,Thiruvotriyur,N001,0.18,0.22,0.21,0.23,0.2,0.2,0.21,0.22,0.21,0.2,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02
Chennai,Thiruvotriyur,N002,2.35,2.56,2.64,2.3,2.05,2.63,2.63,2.64,2.43,2.21,0.17,0.16,0.14,0.15,0.16,0.13,0.14,0.14,0.13,0.12
Chennai,Thiruvotriyur,N003,1.56,1.52,1.69,1.26,1.24,1.58,1.42,1.26,1.27,1.27,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
Chennai,Thiruvotriyur,N004,0.35,0.37,0.29,0.37,0.37,0.36,0.34,0.32,0.33,0.34,0.04,0.05,0.04,0.05,0.08,0.04,0.04,0.03,0.06,0.06
Chennai,Thiruvotriyur,N005,2.28,2.39,1.78,1.42,1.95,2.9,2.72,2.44,2.49,2.52,0.42,0.58,3.04,0.72,1.72,1.29,1.35,1.23,1.26,1.29
Chennai,Thiruvotriyur,N006,0.31,0.32,0.57,0.4,0.41,0.39,0.39,0.37,0.39,0.44,0.14,0.15,0.21,0.19,0.21,0.15,0.16,0.19,0.21,0.25
Chennai,Thiruvotriyur,N007,1.11,1.49,0.75,0.86,0.9,1.2,1.11,0.99,1.01,1.04,0.13,0.15,0.51,0.35,0.36,0.36,0.35,0.33,0.35,0.38
Chennai,Thiruvotriyur,N008,0.29,0.37,0.27,0.64,0.31,0.44,0.42,0.43,0.5,0.63,0.09,0.13,0.19,0.16,0.16,0.13,0.13,0.09,0.15,0.2
Chennai,Thiruvotriyur,N009,0.47,0.33,0.28,0.41,0.29,0.45,0.42,0.41,0.39,0.4,0.07,0.04,0.04,0.14,0.1,0.04,0.06,0.04,0.09,0.11
Chennai,Thiruvotriyur,N010,0.3,0.33,0.34,0.47,0.36,0.42,0.39,0.38,0.38,0.41,0.03,0.04,0.03,0.09,0.11,0.03,0.03,0.02,0.07,0.1
Chennai,Thiruvotriyur,N011,0.36,0.42,0.36,0.46,0.46,0.46,0.43,0.43,0.44,0.46,0.05,0.04,0.05,0.08,0.09,0.04,0.04,0.04,0.07,0.08
Chennai,Thiruvotriyur,N012,0.42,0.44,0.41,0.64,0.48,0.55,0.52,0.49,0.5,0.52,0.05,0.06,0.06,0.09,0.11,0.05,0.05,0.04,0.08,0.14
Chennai,Thiruvotriyur,N013,0.42,0.54,0.36,0.57,0.51,0.58,0.55,0.53,0.54,0.57,0.02,0.03,0.1,0.22,0.18,0.11,0.11,0.09,0.12,0.17
Chennai,Thiruvotriyur,N014,0.37,0.45,0.35,0.47,0.36,0.49,0.46,0.42,0.43,0.45,0.19,0.16,0.2,0.24,0.34,0.29,0.27,0.24,0.26,0.31
Chennai,Manali,N015,0.03,0.07,0.16,0.13,0.16,0.05,0.06,0.1,0.14,0.15,0.02,0.05,0.36,0.16,0.17,0.1,0.11,0.09,0.13,0.14
