City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Jabalpur,1,1,0.54,0.62,0.83,0.88,0.78,0.55,0.54,0.56,0.59,0.66,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,1,3,0.4,0.6,0.87,0.99,0.89,0.5,0.54,0.53,0.55,0.64,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Jabalpur,1,5,0.4,0.41,0.46,0.44,0.59,0.38,0.37,0.43,0.44,0.47,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,1,6,0.51,0.63,0.57,0.57,0.66,0.49,0.49,0.5,0.51,0.54,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,1,16,0.57,0.75,0.74,0.92,0.87,0.62,0.59,0.66,0.68,0.74,0.0,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,1,71,0.0,0.0,0.16,0.25,0.33,0.0,0.0,0.31,0.31,0.33,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.02,0.02
Jabalpur,2,2,0.3,0.37,0.41,0.42,0.46,0.28,0.28,0.29,0.29,0.31,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,2,7,0.55,0.6,0.67,0.72,0.79,0.52,0.61,0.57,0.59,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,2,15,0.58,0.69,0.7,1.02,1.1,0.68,0.69,0.7,0.72,0.76,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03
Jabalpur,2,17,0.29,0.38,0.39,0.36,0.38,0.24,0.23,0.25,0.25,0.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,2,19,0.88,1.08,1.09,1.4,1.31,0.91,0.98,1.03,1.05,1.15,0.02,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03
Jabalpur,2,21,1.0,1.15,1.27,2.06,1.6,1.16,1.21,1.25,1.3,1.41,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,3,4,0.59,0.69,0.69,0.71,0.8,0.59,0.58,0.61,0.63,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,3,8,0.68,0.81,0.8,0.78,0.97,0.65,0.54,0.72,0.73,0.84,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02
