City_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Thanjavur,1,0.04,0.04,0.03,0.03,0.03,0.06,0.07,0.05,0.05,0.06,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
Thanjavur,2,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
Thanjavur,3,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Thanjavur,4,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02
Thanjavur,5,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Thanjavur,6,0.05,0.06,0.07,0.07,0.06,0.07,0.09,0.12,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.03
Thanjavur,7,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
Thanjavur,8,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanjavur,9,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
Thanjavur,10,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
Thanjavur,11,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Thanjavur,12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
Thanjavur,13,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
Thanjavur,14,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.1,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
Thanjavur,15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Thanjavur,16,0.07,0.07,0.07,0.08,0.07,0.08,0.08,0.1,0.09,0.1,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03
Thanjavur,17,0.06,0.06,0.06,0.06,0.05,0.07,0.07,0.07,0.07,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Thanjavur,18,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Thanjavur,19,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Thanjavur,20,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.21,0.13,0.14,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.05
Thanjavur,21,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01
Thanjavur,22,0.3,0.29,0.3,0.32,0.3,0.34,0.33,0.8,0.38,0.43,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.27,0.13,0.14
Thanjavur,23,0.19,0.19,0.19,0.21,0.2,0.21,0.21,0.4,0.23,0.24,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.13,0.08,0.08
Thanjavur,24,0.08,0.08,0.08,0.08,0.07,0.11,0.11,0.11,0.11,0.11,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.04,0.04
Thanjavur,25,0.24,0.25,0.25,0.26,0.25,0.27,0.27,0.32,0.28,0.29,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.11,0.09,0.1
Thanjavur,26,0.23,0.24,0.26,0.3,0.26,0.25,0.25,0.52,0.31,0.3,0.08,0.08,0.09,0.1,0.09,0.08,0.08,0.17,0.1,0.1
Thanjavur,27,0.1,0.09,0.09,0.1,0.09,0.13,0.11,0.22,0.12,0.12,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.07,0.04,0.04
Thanjavur,28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Thanjavur,29,0.07,0.08,0.08,0.09,0.07,0.08,0.08,0.1,0.11,0.12,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.04,0.04
Thanjavur,30,0.06,0.07,0.08,0.09,0.08,0.08,0.09,0.1,0.11,0.12,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Thanjavur,31,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.07,0.06,0.07,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Thanjavur,32,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Thanjavur,33,0.09,0.09,0.08,0.09,0.09,0.16,0.09,0.17,0.1,0.12,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.06,0.03,0.04
Thanjavur,34,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Thanjavur,35,0.37,0.38,0.47,0.45,0.42,0.39,0.41,1.6,0.49,0.51,0.12,0.13,0.16,0.15,0.14,0.13,0.14,0.53,0.16,0.17
Thanjavur,36,0.18,0.16,0.17,0.17,0.15,0.2,0.2,0.27,0.22,0.24,0.06,0.05,0.06,0.06,0.05,0.07,0.07,0.09,0.07,0.08
Thanjavur,37,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.18,0.17,0.17,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
Thanjavur,38,0.1,0.11,0.11,0.12,0.11,0.12,0.12,0.2,0.14,0.15,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.05,0.05
Thanjavur,39,0.23,0.24,0.23,0.29,0.26,0.26,0.27,0.42,0.32,0.33,0.08,0.08,0.08,0.1,0.09,0.09,0.09,0.14,0.11,0.11
Thanjavur,40,0.19,0.26,0.2,0.21,0.21,0.2,0.27,0.25,0.23,0.25,0.06,0.09,0.07,0.07,0.07,0.07,0.09,0.08,0.08,0.08
Thanjavur,41,0.14,0.14,0.14,0.14,0.14,0.16,0.16,0.17,0.18,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07
Thanjavur,42,0.2,0.2,0.21,0.22,0.22,0.21,0.21,0.25,0.25,0.27,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09
Thanjavur,43,0.02,0.02,0.02,0.02,0.06,0.03,0.03,0.07,0.03,0.08,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.03
Thanjavur,44,0.14,0.15,0.16,0.17,0.16,0.16,0.17,0.19,0.2,0.21,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.07,0.07
Thanjavur,45,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Thanjavur,46,0.08,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.11,0.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Thanjavur,47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Thanjavur,48,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Thanjavur,49,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.06,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02
Thanjavur,50,0.13,0.15,0.15,0.16,0.15,0.15,0.16,0.17,0.19,0.19,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
Thanjavur,51,0.2,0.2,0.22,0.24,0.24,0.2,0.21,0.25,0.25,0.28,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.09
