City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Tiruchirappalli,Srirangam Zone,1,0.69,0.78,0.76,0.83,0.45,0.77,0.85,0.87,0.99,1.12,0.04,0.04,0.08,0.05,0.01,0.04,0.05,0.09,0.06,0.09
Tiruchirappalli,Srirangam Zone,2,0.33,0.36,0.35,0.36,0.2,0.43,0.45,0.48,0.53,0.6,0.14,0.15,0.14,0.15,0.03,0.23,0.23,0.23,0.25,0.28
Tiruchirappalli,Srirangam Zone,3,0.28,0.31,0.33,0.34,0.17,0.43,0.48,0.5,0.52,0.53,0.13,0.11,0.14,0.13,0.04,0.22,0.19,0.22,0.22,0.23
Tiruchirappalli,Srirangam Zone,4,0.38,0.42,0.51,0.51,0.24,0.5,0.56,0.7,0.76,0.84,0.16,0.17,0.25,0.27,0.04,0.28,0.29,0.46,0.49,0.51
Tiruchirappalli,Srirangam Zone,5,0.91,0.99,0.94,0.98,0.56,1.05,1.12,1.14,1.22,1.38,0.19,0.19,0.24,0.24,0.1,0.21,0.21,0.27,0.27,0.27
Tiruchirappalli,Srirangam Zone,6,0.34,0.41,0.42,0.45,0.22,0.43,0.51,0.56,0.64,0.74,0.05,0.05,0.08,0.08,0.03,0.05,0.06,0.11,0.12,0.13
Tiruchirappalli,Srirangam Zone,8,0.22,0.23,0.23,0.26,0.1,0.23,0.25,0.27,0.3,0.31,0.1,0.11,0.12,0.12,0.05,0.12,0.14,0.16,0.17,0.18
Tiruchirappalli,Srirangam Zone,9,0.33,0.33,0.32,0.31,0.12,0.41,0.42,0.43,0.46,0.53,0.77,0.82,0.94,0.87,0.37,0.99,0.97,1.14,1.16,1.34
Tiruchirappalli,Srirangam Zone,10,0.22,0.22,0.21,0.21,0.09,0.27,0.27,0.27,0.29,0.31,0.64,0.65,0.65,0.67,0.24,1.12,1.18,1.25,1.3,1.35
Tiruchirappalli,Srirangam Zone,11,0.16,0.16,0.16,0.17,0.07,0.16,0.16,0.16,0.17,0.17,0.29,0.22,0.23,0.24,0.12,0.32,0.26,0.29,0.3,0.31
